run,idx,name,opt,model_anneal,gap_pct
cvrp_full_mh_100-0-0-0,23,X-n209-k16,30.686686686686688,31.463661193847656,2.53195959
cvrp_full_mh_100-0-0-0,24,X-n214-k11,15.398581560283688,15.893728256225586,3.21553446
cvrp_full_mh_100-0-0-0,25,X-n219-k73,117.595,117.73172760009766,0.11626991
cvrp_full_mh_100-0-0-0,26,X-n223-k34,40.47747747747748,41.43107223510742,2.35586508
cvrp_full_mh_100-0-0-0,27,X-n228-k23,25.742,26.675994873046875,3.62829179
cvrp_full_mh_100-0-0-0,28,X-n233-k16,19.287863590772318,19.44454002380371,0.81230579
cvrp_full_mh_100-0-0-0,29,X-n237-k14,27.06906906906907,28.63540267944336,5.78643324
cvrp_full_mh_100-0-0-0,30,X-n242-k48,82.751,84.05973815917969,1.58153758
cvrp_full_mh_100-0-0-0,31,X-n247-k50,51.91364902506964,52.95136260986328,1.99892245
cvrp_full_mh_100-0-0-0,32,X-n251-k28,38.878391959798996,39.44380569458008,1.45431358
cvrp_full_mh_100-0-0-0,33,X-n256-k16,18.933668341708543,19.11707305908203,0.96866975
cvrp_full_mh_100-0-0-0,34,X-n261-k13,26.584584584584583,27.300579071044922,2.69326942
cvrp_full_mh_100-0-0-0,35,X-n266-k58,75.70511534603811,77.19742584228516,1.97121488
cvrp_full_mh_100-0-0-0,36,X-n270-k35,35.57560483870968,36.410133361816406,2.34578871
cvrp_full_mh_100-0-0-0,37,X-n275-k28,24.25228310502283,24.799495697021484,2.25633434
cvrp_full_mh_100-0-0-0,38,X-n280-k17,33.503,34.54067611694336,3.09726328
cvrp_full_mh_100-0-0-0,39,X-n284-k15,20.7021494370522,21.187721252441406,2.34551401
cvrp_full_mh_100-0-0-0,40,X-n289-k60,95.34168336673346,98.15267181396484,2.94833104
cvrp_full_mh_100-0-0-0,41,X-n294-k50,47.39798994974874,48.46821975708008,2.25796454
cvrp_full_mh_100-0-0-0,42,X-n298-k31,34.26526526526526,35.43729019165039,3.42044609
cvrp_full_mh_100-0-0-0,43,X-n303-k21,22.134419551934826,22.50476837158203,1.67318063
cvrp_full_mh_100-0-0-0,44,X-n308-k13,25.96285140562249,26.35198211669922,1.49879805
cvrp_full_mh_100-0-0-0,45,X-n313-k71,94.4206827309237,96.47183227539062,2.17235195
cvrp_full_mh_100-0-0-0,46,X-n317-k53,78.43343343343344,93.28710174560547,18.93792948
cvrp_full_mh_100-0-0-0,47,X-n322-k28,29.834,30.591556549072266,2.53923895
cvrp_full_mh_100-0-0-0,48,X-n327-k20,27.67035175879397,28.47389030456543,2.90396939
cvrp_full_mh_100-0-0-0,49,X-n331-k15,31.133133133133132,32.578880310058594,4.64375741
cvrp_full_mh_100-0-0-0,50,X-n336-k84,139.25025025025025,142.2173309326172,2.13075429
cvrp_full_mh_100-0-0-0,51,X-n344-k43,42.1765295887663,43.03352355957031,2.03192150
cvrp_full_mh_100-0-0-0,52,X-n351-k40,25.896,26.588619232177734,2.67461860
cvrp_full_mh_100-0-0-0,53,X-n359-k29,51.505,52.82441711425781,2.56172627
cvrp_full_mh_100-0-0-0,54,X-n367-k17,24.82480957562568,25.547348022460938,2.91054981
cvrp_full_mh_100-0-0-0,55,X-n376-k94,147.86086086086087,148.0235595703125,0.11003501
cvrp_full_mh_100-0-0-0,56,X-n384-k52,66.07214428857715,67.19184112548828,1.69465794
cvrp_full_mh_100-0-0-0,57,X-n393-k38,38.52970795568983,39.28042221069336,1.94840370
cvrp_full_mh_100-0-0-0,58,X-n401-k29,66.154,67.89774322509766,2.63588479
cvrp_full_mh_100-0-0-0,59,X-n411-k19,19.99188640973631,20.52667236328125,2.67501497
cvrp_full_mh_100-0-0-0,60,X-n420-k130,108.12236710130391,110.72563934326172,2.40770926
cvrp_full_mh_100-0-0-0,61,X-n429-k61,65.71184738955823,66.95346069335938,1.88948166
cvrp_full_mh_100-0-0-0,62,X-n439-k37,36.500501504513544,37.15102767944336,1.78223901
cvrp_full_mh_100-0-0-0,63,X-n449-k29,55.233,56.87044906616211,2.96462091
cvrp_full_mh_100-0-0-0,64,X-n459-k26,25.25,25.913677215576172,2.62842462
cvrp_full_mh_100-0-0-0,65,X-n469-k138,222.2685370741483,228.39605712890625,2.75680946
cvrp_full_mh_100-0-0-0,66,X-n480-k70,89.8082329317269,92.42045593261719,2.90866763
cvrp_full_mh_100-0-0-0,67,X-n491-k59,66.54954954954955,68.20464324951172,2.48700962
cvrp_full_mh_100-0-0-0,68,X-n502-k39,69.226,69.6220932006836,0.57217404
cvrp_full_mh_100-0-0-0,69,X-n513-k21,24.249498997995993,24.83916664123535,2.43166939
cvrp_full_mh_100-0-0-0,70,X-n524-k153,154.593,156.9964141845703,1.55467206
cvrp_full_mh_100-0-0-0,71,X-n536-k96,94.846,97.34598541259766,2.63583642
cvrp_full_mh_100-0-0-0,72,X-n548-k50,86.7,95.10169982910156,9.69054190
cvrp_full_mh_100-0-0-0,73,X-n561-k42,42.75975975975976,43.87883758544922,2.61712842
cvrp_full_mh_100-0-0-0,74,X-n573-k30,50.673,51.747859954833984,2.12116898
cvrp_full_mh_100-0-0-0,75,X-n586-k159,191.46478873239437,197.16477966308594,2.97704396
cvrp_full_mh_100-0-0-0,76,X-n599-k92,108.451,111.12002563476562,2.46104290
cvrp_full_mh_100-0-0-0,77,X-n613-k62,59.65430861723447,61.1230583190918,2.46210163
cvrp_full_mh_100-0-0-0,78,X-n627-k43,62.226226226226224,64.32011413574219,3.36496046
cvrp_full_mh_100-0-0-0,79,X-n641-k35,63.747747747747745,65.24371337890625,2.34669566
cvrp_full_mh_100-0-0-0,80,X-n655-k131,110.5383022774327,111.02175903320312,0.43736582
cvrp_full_mh_100-0-0-0,81,X-n670-k130,146.47847847847848,150.2329864501953,2.56318062
cvrp_full_mh_100-0-0-0,82,X-n685-k75,68.4789156626506,70.32398986816406,2.69436831
cvrp_full_mh_100-0-0-0,83,X-n701-k44,81.923,83.74051666259766,2.21856702
cvrp_full_mh_100-0-0-0,84,X-n716-k35,44.30337078651685,45.4720573425293,2.63791792
cvrp_full_mh_100-0-0-0,85,X-n733-k159,136.32332332332334,138.0523223876953,1.26830760
cvrp_full_mh_100-0-0-0,86,X-n749-k98,77.89213709677419,79.97493743896484,2.67395455
cvrp_full_mh_100-0-0-0,87,X-n766-k71,114.417,116.41120910644531,1.74293078
cvrp_full_mh_100-0-0-0,88,X-n783-k48,72.53106212424849,74.47090911865234,2.67450515
cvrp_full_mh_100-0-0-0,89,X-n801-k40,73.311,74.67070770263672,1.85471171
cvrp_full_mh_100-0-0-0,90,X-n819-k171,158.121,162.4767303466797,2.75468176
cvrp_full_mh_100-0-0-0,91,X-n837-k142,193.93093093093094,199.41416931152344,2.82741817
cvrp_full_mh_100-0-0-0,92,X-n856-k95,89.05405405405405,90.07661437988281,1.14824680
cvrp_full_mh_100-0-0-0,93,X-n876-k59,99.49799599198397,101.58248901367188,2.09501006
cvrp_full_mh_100-0-0-0,94,X-n895-k37,53.913913913913916,55.4896354675293,2.92266215
cvrp_full_mh_100-0-0-0,95,X-n916-k207,329.179,341.3117980957031,3.68577525
cvrp_full_mh_100-0-0-0,96,X-n936-k151,132.9809619238477,137.0264129638672,3.04212797
cvrp_full_mh_100-0-0-0,97,X-n957-k87,85.465,93.5399398803711,9.44824183
cvrp_full_mh_100-0-0-0,98,X-n979-k58,118.976,121.94844818115234,2.49835949
cvrp_full_mh_100-0-0-0,99,X-n1001-k43,72.355,74.98661804199219,3.63709217
cvrp_full_mh_100-0-0-0,100,Leuven1,101.33893851812927,103.51053619384766,2.14290549
cvrp_full_mh_100-0-0-0,101,Leuven2,56.00553041729513,60.41041946411133,7.86509656
cvrp_full_mh_100-0-0-0,102,Antwerp1,238.87737737737737,245.38104248046875,2.72259566
cvrp_full_mh_100-0-0-0,103,Antwerp2,145.7478739369685,157.3650360107422,7.97072490
cvrp_full_mh_100-0-0-0,104,Ghent1,236.18259557344064,243.1033935546875,2.93027433
cvrp_full_mh_100-0-0-0,105,Ghent2,129.13276553106212,141.6463165283203,9.69045381
cvrp_full_mh_100-0-0-0,106,Brussels1,253.1377396569122,265.2804870605469,4.79689335
cvrp_full_mh_100-0-0-0,107,Brussels2,173.25376128385156,192.59181213378906,11.16169179
cvrp_full_mh_100-0-0-0,108,Flanders1,271.55194659065336,279.8757629394531,3.06527589
cvrp_full_mh_100-0-0-0,109,Flanders2,162.93755588673622,178.99000549316406,9.85190279
cvrp_full_mh_25-25-25-25,0,X-n101-k25,27.982758620689655,28.44799041748047,1.66256588
cvrp_full_mh_25-25-25-25,1,X-n106-k14,26.362,26.692537307739258,1.25384003
cvrp_full_mh_25-25-25-25,2,X-n110-k13,14.971,15.156122207641602,1.23653869
cvrp_full_mh_25-25-25-25,3,X-n115-k10,12.927991886409737,12.963713645935059,0.27631329
cvrp_full_mh_25-25-25-25,4,X-n120-k6,13.439516129032258,13.951595306396484,3.81025010
cvrp_full_mh_25-25-25-25,5,X-n125-k30,56.156723963599596,58.39838790893555,3.99179971
cvrp_full_mh_25-25-25-25,6,X-n129-k18,28.997995991983966,30.064245223999023,3.67697558
cvrp_full_mh_25-25-25-25,7,X-n134-k13,12.320541760722348,12.532233238220215,1.71819942
cvrp_full_mh_25-25-25-25,8,X-n139-k10,13.699596774193548,13.901671409606934,1.47504075
cvrp_full_mh_25-25-25-25,9,X-n143-k7,15.77889447236181,16.54633331298828,4.86370475
cvrp_full_mh_25-25-25-25,10,X-n148-k46,43.754279959718026,44.834693908691406,2.46927603
cvrp_full_mh_25-25-25-25,11,X-n153-k22,21.565040650406505,22.24422264099121,3.14945843
cvrp_full_mh_25-25-25-25,12,X-n157-k13,17.560874089490113,17.623645782470703,0.35745198
cvrp_full_mh_25-25-25-25,13,X-n162-k11,14.411824668705403,14.43195629119873,0.13968823
cvrp_full_mh_25-25-25-25,14,X-n167-k10,20.764646464646464,21.64959144592285,4.26178689
cvrp_full_mh_25-25-25-25,15,X-n172-k51,46.96910401647786,47.296783447265625,0.69764889
cvrp_full_mh_25-25-25-25,16,X-n176-k26,47.812,49.21120834350586,2.92647943
cvrp_full_mh_25-25-25-25,17,X-n181-k23,26.80188679245283,26.94536018371582,0.53531079
cvrp_full_mh_25-25-25-25,18,X-n186-k15,24.241967871485944,24.506406784057617,1.09083105
cvrp_full_mh_25-25-25-25,19,X-n190-k8,17.031093279839517,17.31250762939453,1.65235634
cvrp_full_mh_25-25-25-25,20,X-n195-k51,44.269269269269266,44.76401138305664,1.11757461
cvrp_full_mh_25-25-25-25,21,X-n200-k36,60.08,61.63544845581055,2.58896214
cvrp_full_mh_25-25-25-25,22,X-n204-k19,19.584584584584583,19.822166442871094,1.21310645
